filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00022.au,0.3064420223236084,0.11343149840831757,1156.2023631215,1497.758883919563,2170.511875211639,0.05861340218653251,-233.8575439453125,136.17208862304688,3.2713234424591064,48.931209564208984,8.685140609741211,13.97950553894043,5.354872226715088,0.3908657431602478,-13.504570960998535,16.856103897094727,5.130940914154053,-2.231882095336914,3.9640350341796875,5.318360328674316,0.81226646900177,-1.0979145765304565,-4.539752006530762,-2.434785842895508,3.313448667526245,-0.6142788529396057,blues
blues.00024.au,0.2631080448627472,0.08696161210536957,1120.3909802285903,1447.85262505518,2325.127606938129,0.047297899937113,-274.3118591308594,130.41371154785156,-6.392792224884033,70.4050064086914,13.269148826599121,9.461277961730957,7.725645542144775,-1.2474943399429321,-0.5775859951972961,-2.3025898933410645,3.7831480503082275,0.08482308685779572,-0.939436674118042,2.2965152263641357,4.2883782386779785,-1.6618610620498657,-10.444596290588379,-6.797532558441162,-1.0660524368286133,-1.5959943532943726,blues
blues.00084.au,0.396300733089447,0.23509325087070465,2061.202741434345,2085.186746503955,4221.307807662539,0.11339689555921052,-38.994842529296875,112.03825378417969,-31.817707061767578,38.24067687988281,-6.320668697357178,23.330562591552734,-18.77887725830078,23.932186126708984,-10.93421459197998,13.234858512878418,-14.381190299987793,13.326929092407227,-10.921998977661133,9.794657707214355,-5.032708644866943,7.201395034790039,-6.755035400390625,2.6630868911743164,-4.382441520690918,0.4145105183124542,blues
blues.00034.au,0.26211872696876526,0.13591797649860382,1536.7310778930719,2157.058611724357,3600.91989239672,0.04570040392801858,-217.23867797851562,105.79236602783203,15.617073059082031,25.25638198852539,-1.4402730464935303,30.1898193359375,-17.715219497680664,17.318172454833984,-27.20952796936035,4.339166641235352,-20.059492111206055,-10.695944786071777,-14.220666885375977,-5.1562180519104,-3.4732654094696045,-6.189414024353027,-15.326929092407227,-6.845921039581299,-9.827670097351074,-13.943093299865723,blues
blues.00067.au,0.33793774247169495,0.12903934717178345,2258.5305012842978,2175.8838042087814,4755.35457835478,0.11276500217685759,-95.46324920654297,101.38037872314453,-20.697004318237305,48.66807174682617,-30.27181053161621,20.812761306762695,-18.31358528137207,14.146869659423828,-12.798890113830566,13.444279670715332,-14.078200340270996,7.7326555252075195,-19.23227310180664,2.862248659133911,-9.816176414489746,6.917914390563965,-11.309343338012695,8.943025588989258,-2.9608874320983887,-0.9738654494285583,blues
blues.00059.au,0.40606847405433655,0.1699414849281311,2235.9219734301396,2100.036805579494,4390.048453977603,0.14228825524864552,-86.25098419189453,91.94210052490234,-23.403499603271484,68.24950408935547,-3.890126943588257,22.742177963256836,-9.895618438720703,16.891765594482422,-11.39383316040039,18.42901611328125,-7.011847972869873,10.766727447509766,-11.93729019165039,1.002573013305664,-5.922303199768066,5.314185619354248,-6.1398444175720215,1.9491444826126099,-5.0979905128479,-0.6654883027076721,blues
blues.00066.au,0.37484151124954224,0.1104695200920105,2340.336211532572,2256.322435520963,4972.26993336397,0.1217751517753483,-116.5463638305664,97.44462585449219,-13.895613670349121,48.974857330322266,-22.594566345214844,27.765439987182617,-20.240068435668945,18.63935089111328,-14.6516695022583,8.481433868408203,-16.65589714050293,11.001678466796875,-13.869424819946289,9.742047309875488,-5.094328880310059,2.63737154006958,-9.890765190124512,6.160114765167236,-7.6891350746154785,-4.851009368896484,blues
blues.00071.au,0.30524948239326477,0.12049466371536255,2429.33595917585,2286.6949825737374,5065.152705047891,0.13468663832720587,-89.39149475097656,93.78779602050781,-14.571089744567871,54.39153289794922,-33.515018463134766,19.421157836914062,-19.763673782348633,13.022462844848633,-13.86949634552002,14.61171817779541,-14.970264434814453,10.589298248291016,-18.023412704467773,6.658278942108154,-10.205866813659668,6.529358863830566,-10.848846435546875,3.32163143157959,-6.187530040740967,2.999420404434204,blues
blues.00091.au,0.4219493567943573,0.09938009083271027,991.1502533354555,1396.2619542380903,1943.2882492018189,0.03605269204721362,-236.3834686279297,161.69500732421875,-1.1533328294754028,27.288705825805664,9.581354141235352,20.619043350219727,0.2341289222240448,13.796684265136719,-0.5009188055992126,10.185428619384766,-4.454617977142334,5.508088111877441,-3.716721296310425,-0.8915274143218994,-4.904811382293701,-2.872342824935913,-3.75852632522583,-3.3457863330841064,-2.4161057472229004,-3.783830404281616,blues
blues.00012.au,0.2693325877189636,0.1190238893032074,1361.1004062354928,1567.6007717770153,2739.791766187355,0.06912392064144737,-207.208740234375,132.79708862304688,-15.460704803466797,60.99486541748047,0.7102430462837219,12.461277961730957,1.1609293222427368,-1.5278959274291992,-17.90181541442871,8.369233131408691,-2.453817367553711,-0.5966899991035461,0.36881762742996216,2.605226993560791,-5.193014144897461,-9.5301513671875,-9.23740005493164,-2.8406760692596436,-1.4114445447921753,-5.931028366088867,blues
